AGPORTID,COUNTRY,State,County Name,"County Name, State",FMRe Exposed TIV by company & county,Company Name
1,US,VA,ACCOMACK COUNTY,"VA, ACCOMACK COUNTY","42,830",Brethren
1,US,PA,ADAMS COUNTY,"PA, ADAMS COUNTY","21,045",Brethren
1,US,VA,ALBEMARLE COUNTY,"VA, ALBEMARLE COUNTY","2,311",Brethren
1,US,VA,ALEXANDRIA CITY,"VA, ALEXANDRIA CITY","19,498",Brethren
1,US,MD,ALLEGANY COUNTY,"MD, ALLEGANY COUNTY","26,417",Brethren
1,US,VA,ALLEGHANY COUNTY,"VA, ALLEGHANY COUNTY","1,174",Brethren
1,US,PA,ALLEGHENY COUNTY,"PA, ALLEGHENY COUNTY","23,749",Brethren
1,US,VA,AMELIA COUNTY,"VA, AMELIA COUNTY",94,Brethren
1,US,VA,AMHERST COUNTY,"VA, AMHERST COUNTY",505,Brethren
1,US,MD,ANNE ARUNDEL COUNTY,"MD, ANNE ARUNDEL COUNTY","49,309",Brethren
1,US,VA,APPOMATTOX COUNTY,"VA, APPOMATTOX COUNTY",100,Brethren
1,US,VA,ARLINGTON COUNTY,"VA, ARLINGTON COUNTY","2,600",Brethren
1,US,PA,ARMSTRONG COUNTY,"PA, ARMSTRONG COUNTY","2,155",Brethren
1,US,VA,AUGUSTA COUNTY,"VA, AUGUSTA COUNTY","12,465",Brethren
1,US,MD,BALTIMORE CITY,"MD, BALTIMORE CITY","39,323",Brethren
1,US,MD,BALTIMORE COUNTY,"MD, BALTIMORE COUNTY","99,638",Brethren
1,US,VA,BATH COUNTY,"VA, BATH COUNTY",840,Brethren
1,US,PA,BEAVER COUNTY,"PA, BEAVER COUNTY","5,721",Brethren
1,US,VA,BEDFORD CITY,"VA, BEDFORD CITY",151,Brethren
1,US,PA,BEDFORD COUNTY,"PA, BEDFORD COUNTY","2,523",Brethren
1,US,VA,BEDFORD COUNTY,"VA, BEDFORD COUNTY",698,Brethren
1,US,PA,BERKS COUNTY,"PA, BERKS COUNTY","18,519",Brethren
1,US,PA,BLAIR COUNTY,"PA, BLAIR COUNTY","6,130",Brethren
1,US,VA,BLAND COUNTY,"VA, BLAND COUNTY",14,Brethren
1,US,VA,BOTETOURT COUNTY,"VA, BOTETOURT COUNTY",617,Brethren
1,US,PA,BRADFORD COUNTY,"PA, BRADFORD COUNTY","3,501",Brethren
1,US,VA,BRISTOL CITY,"VA, BRISTOL CITY",501,Brethren
1,US,VA,BRUNSWICK COUNTY,"VA, BRUNSWICK COUNTY",150,Brethren
1,US,VA,BUCHANAN COUNTY,"VA, BUCHANAN COUNTY",1,Brethren
1,US,VA,BUCKINGHAM COUNTY,"VA, BUCKINGHAM COUNTY",77,Brethren
1,US,PA,BUCKS COUNTY,"PA, BUCKS COUNTY","8,836",Brethren
1,US,VA,BUENA VISTA CITY,"VA, BUENA VISTA CITY",580,Brethren
1,US,PA,BUTLER COUNTY,"PA, BUTLER COUNTY","6,080",Brethren
1,US,MD,CALVERT COUNTY,"MD, CALVERT COUNTY","10,385",Brethren
1,US,PA,CAMBRIA COUNTY,"PA, CAMBRIA COUNTY","3,765",Brethren
1,US,PA,CAMERON COUNTY,"PA, CAMERON COUNTY",69,Brethren
1,US,VA,CAMPBELL COUNTY,"VA, CAMPBELL COUNTY","1,904",Brethren
1,US,PA,CARBON COUNTY,"PA, CARBON COUNTY","10,091",Brethren
1,US,MD,CAROLINE COUNTY,"MD, CAROLINE COUNTY","21,076",Brethren
1,US,VA,CAROLINE COUNTY,"VA, CAROLINE COUNTY",190,Brethren
1,US,MD,CARROLL COUNTY,"MD, CARROLL COUNTY","63,942",Brethren
1,US,VA,CARROLL COUNTY,"VA, CARROLL COUNTY",50,Brethren
1,US,MD,CECIL COUNTY,"MD, CECIL COUNTY","34,894",Brethren
1,US,PA,CENTRE COUNTY,"PA, CENTRE COUNTY","6,239",Brethren
1,US,VA,CHARLES CITY COUNTY,"VA, CHARLES CITY COUNTY",124,Brethren
1,US,MD,CHARLES COUNTY,"MD, CHARLES COUNTY","25,877",Brethren
1,US,VA,CHARLOTTE COUNTY,"VA, CHARLOTTE COUNTY",578,Brethren
1,US,VA,CHARLOTTESVILLE CITY,"VA, CHARLOTTESVILLE CITY","1,646",Brethren
1,US,VA,CHESAPEAKE CITY,"VA, CHESAPEAKE CITY","4,788",Brethren
1,US,PA,CHESTER COUNTY,"PA, CHESTER COUNTY","11,735",Brethren
1,US,VA,CHESTERFIELD COUNTY,"VA, CHESTERFIELD COUNTY","8,160",Brethren
1,US,PA,CLARION COUNTY,"PA, CLARION COUNTY","2,764",Brethren
1,US,VA,CLARKE COUNTY,"VA, CLARKE COUNTY","4,840",Brethren
1,US,PA,CLEARFIELD COUNTY,"PA, CLEARFIELD COUNTY","1,243",Brethren
1,US,PA,CLINTON COUNTY,"PA, CLINTON COUNTY","1,164",Brethren
1,US,VA,COLONIAL HEIGHTS CITY,"VA, COLONIAL HEIGHTS CITY",127,Brethren
1,US,PA,COLUMBIA COUNTY,"PA, COLUMBIA COUNTY","1,322",Brethren
1,US,VA,COVINGTON CITY,"VA, COVINGTON CITY",215,Brethren
1,US,VA,CRAIG COUNTY,"VA, CRAIG COUNTY",17,Brethren
1,US,PA,CRAWFORD COUNTY,"PA, CRAWFORD COUNTY","4,169",Brethren
1,US,VA,CULPEPER COUNTY,"VA, CULPEPER COUNTY",727,Brethren
1,US,PA,CUMBERLAND COUNTY,"PA, CUMBERLAND COUNTY","19,708",Brethren
1,US,VA,CUMBERLAND COUNTY,"VA, CUMBERLAND COUNTY",113,Brethren
1,US,VA,DANVILLE CITY,"VA, DANVILLE CITY","1,721",Brethren
1,US,PA,DAUPHIN COUNTY,"PA, DAUPHIN COUNTY","10,228",Brethren
1,US,PA,DELAWARE COUNTY,"PA, DELAWARE COUNTY","3,436",Brethren
1,US,VA,DICKENSON COUNTY,"VA, DICKENSON COUNTY",358,Brethren
1,US,VA,DINWIDDIE COUNTY,"VA, DINWIDDIE COUNTY",245,Brethren
1,US,DC,DISTRICT OF COLUMBIA,"DC, DISTRICT OF COLUMBIA",2,Brethren
1,US,MD,DORCHESTER COUNTY,"MD, DORCHESTER COUNTY","20,207",Brethren
1,US,PA,ELK COUNTY,"PA, ELK COUNTY",183,Brethren
1,US,VA,EMPORIA CITY,"VA, EMPORIA CITY",790,Brethren
1,US,PA,ERIE COUNTY,"PA, ERIE COUNTY","8,154",Brethren
1,US,VA,ESSEX COUNTY,"VA, ESSEX COUNTY",464,Brethren
1,US,VA,FAIRFAX CITY,"VA, FAIRFAX CITY",847,Brethren
1,US,VA,FAIRFAX COUNTY,"VA, FAIRFAX COUNTY","15,669",Brethren
1,US,VA,FALLS CHURCH CITY,"VA, FALLS CHURCH CITY",200,Brethren
1,US,VA,FAUQUIER COUNTY,"VA, FAUQUIER COUNTY","4,059",Brethren
1,US,PA,FAYETTE COUNTY,"PA, FAYETTE COUNTY","2,906",Brethren
1,US,VA,FLOYD COUNTY,"VA, FLOYD COUNTY",188,Brethren
1,US,VA,FLUVANNA COUNTY,"VA, FLUVANNA COUNTY","1,122",Brethren
1,US,PA,FOREST COUNTY,"PA, FOREST COUNTY",404,Brethren
1,US,VA,FRANKLIN CITY,"VA, FRANKLIN CITY","1,601",Brethren
1,US,PA,FRANKLIN COUNTY,"PA, FRANKLIN COUNTY","23,106",Brethren
1,US,VA,FRANKLIN COUNTY,"VA, FRANKLIN COUNTY",201,Brethren
1,US,MD,FREDERICK COUNTY,"MD, FREDERICK COUNTY","77,964",Brethren
1,US,VA,FREDERICK COUNTY,"VA, FREDERICK COUNTY","2,538",Brethren
1,US,VA,FREDERICKSBURG CITY,"VA, FREDERICKSBURG CITY",729,Brethren
1,US,PA,FULTON COUNTY,"PA, FULTON COUNTY","2,164",Brethren
1,US,VA,GALAX CITY,"VA, GALAX CITY",98,Brethren
1,US,MD,GARRETT COUNTY,"MD, GARRETT COUNTY","21,414",Brethren
1,US,VA,GILES COUNTY,"VA, GILES COUNTY",92,Brethren
1,US,VA,GLOUCESTER COUNTY,"VA, GLOUCESTER COUNTY",935,Brethren
1,US,VA,GOOCHLAND COUNTY,"VA, GOOCHLAND COUNTY",521,Brethren
1,US,VA,GRAYSON COUNTY,"VA, GRAYSON COUNTY",11,Brethren
1,US,PA,GREENE COUNTY,"PA, GREENE COUNTY","1,678",Brethren
