State,County Name,"County Name, State",Value
VA,ACCOMACK COUNTY,"VA, ACCOMACK COUNTY","10,000"
PA,ADAMS COUNTY,"PA, ADAMS COUNTY","15,000"
VA,ALBEMARLE COUNTY,"VA, ALBEMARLE COUNTY","20,000"
VA,ALEXANDRIA CITY,"VA, ALEXANDRIA CITY","25,000"
MD,ALLEGANY COUNTY,"MD, ALLEGANY COUNTY","30,000"
VA,ALLEGHANY COUNTY,"VA, ALLEGHANY COUNTY","35,000"
PA,ALLEGHENY COUNTY,"PA, ALLEGHENY COUNTY","40,000"
VA,AMELIA COUNTY,"VA, AMELIA COUNTY","45,000"
VA,AMHERST COUNTY,"VA, AMHERST COUNTY","50,000"
MD,ANNE ARUNDEL COUNTY,"MD, ANNE ARUNDEL COUNTY","55,000"
VA,APPOMATTOX COUNTY,"VA, APPOMATTOX COUNTY","60,000"
VA,ARLINGTON COUNTY,"VA, ARLINGTON COUNTY","65,000"
PA,ARMSTRONG COUNTY,"PA, ARMSTRONG COUNTY","70,000"
VA,AUGUSTA COUNTY,"VA, AUGUSTA COUNTY","75,000"
MD,BALTIMORE CITY,"MD, BALTIMORE CITY","80,000"
MD,BALTIMORE COUNTY,"MD, BALTIMORE COUNTY","85,000"
VA,BATH COUNTY,"VA, BATH COUNTY","90,000"
PA,BEAVER COUNTY,"PA, BEAVER COUNTY","95,000"
VA,BEDFORD CITY,"VA, BEDFORD CITY","100,000"
PA,BEDFORD COUNTY,"PA, BEDFORD COUNTY","105,000"
VA,BEDFORD COUNTY,"VA, BEDFORD COUNTY","110,000"
PA,BERKS COUNTY,"PA, BERKS COUNTY","115,000"
PA,BLAIR COUNTY,"PA, BLAIR COUNTY","120,000"
VA,BLAND COUNTY,"VA, BLAND COUNTY","125,000"
VA,BOTETOURT COUNTY,"VA, BOTETOURT COUNTY","130,000"
PA,BRADFORD COUNTY,"PA, BRADFORD COUNTY","135,000"
VA,BRISTOL CITY,"VA, BRISTOL CITY","140,000"
VA,BRUNSWICK COUNTY,"VA, BRUNSWICK COUNTY","145,000"
VA,BUCHANAN COUNTY,"VA, BUCHANAN COUNTY","150,000"
VA,BUCKINGHAM COUNTY,"VA, BUCKINGHAM COUNTY","155,000"
PA,BUCKS COUNTY,"PA, BUCKS COUNTY","160,000"
VA,BUENA VISTA CITY,"VA, BUENA VISTA CITY","165,000"
PA,BUTLER COUNTY,"PA, BUTLER COUNTY","170,000"
MD,CALVERT COUNTY,"MD, CALVERT COUNTY","175,000"
PA,CAMBRIA COUNTY,"PA, CAMBRIA COUNTY","180,000"
PA,CAMERON COUNTY,"PA, CAMERON COUNTY","185,000"
VA,CAMPBELL COUNTY,"VA, CAMPBELL COUNTY","190,000"
